DATE,NUMBER OF ELECTRIC VEHICLES,VEHICLE MODEL YEAR,VEHICLE MAKE,LOCATION,VEHICLE MODEL
06-01-24,1,2022,TESLA,HALIFAX COUNTY,3
06-01-24,1,2022,FORD,CAPE BRETON COUNTY,MACH
06-01-24,1,2022,HYUNDAI,HALIFAX COUNTY,KONA EV
06-01-24,1,2014,NISSAN,HANTS COUNTY,LEAF
06-01-24,1,2023,HYUNDAI,PICTOU COUNTY,KONA EV
06-01-24,1,2022,FORD,HALIFAX COUNTY,MACH E
06-01-24,1,2019,TESLA,HALIFAX COUNTY,3
06-01-24,1,2023,HYUNDAI,HALIFAX COUNTY,KONA EV
06-01-24,1,2021,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2023,INTERNATIONAL,HALIFAX COUNTY,MV60E
06-01-24,1,2023,HYUNDAI,HALIFAX COUNTY,KONA EV
06-01-24,1,2019,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL Y
06-01-24,1,2023,HYUNDAI,HALIFAX COUNTY,KONA
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2022,TESLA,COLCHESTER COUNTY,MODEL 3
06-01-24,1,2023,HYUNDAI,ANNAPOLIS COUNTY,KONA
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2023,HYUNDAI,KINGS COUNTY,KONA
06-01-24,1,2022,TESLA,HALIFAX COUNTY,3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2023,HYUNDAI,HALIFAX COUNTY,IONIQ 5
06-01-24,1,2022,TESLA,HALIFAX COUNTY,Y
06-01-24,1,2022,TESLA,KINGS COUNTY,MODEL 3
06-01-24,1,2021,FORD,PICTOU COUNTY,MUSTANG
06-01-24,1,2022,FORD,INVERNESS COUNTY,MUSTANG
06-01-24,1,2022,FORD,KINGS COUNTY,MACH PREMIUM AW
06-01-24,1,2022,TESLA,HALIFAX COUNTY,3
06-01-24,1,2022,FORD,KINGS COUNTY,F150
06-01-24,1,2023,CHEVROLET,SHELBURNE COUNTY,BOLT
06-01-24,1,2022,CHEVROLET,HALIFAX COUNTY,BOLT
06-01-24,1,2022,FORD,HALIFAX COUNTY,F150
06-01-24,1,2023,HYUNDAI,RICHMOND COUNTY,KONA EV
06-01-24,1,2022,TESLA,ANNAPOLIS COUNTY,MODEL 3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2022,AUDI,HALIFAX COUNTY,Q4 E-TRON
06-01-24,1,2019,CHEVROLET,HALIFAX COUNTY,BOLT
06-01-24,1,2023,HYUNDAI,KINGS COUNTY,KONA
06-01-24,1,2022,TESLA,COLCHESTER COUNTY,MODEL 3
06-01-24,1,2019,CHRYSLER,HALIFAX COUNTY,PACIFICA
06-01-24,1,2022,TESLA,LUNENBURG COUNTY,Y
06-01-24,1,2017,CHEVROLET,HALIFAX COUNTY,BOLT
06-01-24,1,2022,FORD,COLCHESTER COUNTY,F150
06-01-24,1,2022,TESLA,HALIFAX COUNTY,Y
06-01-24,1,2022,FORD,HALIFAX COUNTY,TRANSIT
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2023,HYUNDAI,HALIFAX COUNTY,IONIQ 5
06-01-24,1,2023,NISSAN,HALIFAX COUNTY,LEAF
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL3
06-01-24,1,2017,CHEVROLET,KINGS COUNTY,BOLT
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL X
06-01-24,1,2022,TESLA,HALIFAX COUNTY,Y
06-01-24,1,2022,TESLA,HALIFAX COUNTY,3
06-01-24,1,2022,FORD,HALIFAX COUNTY,F150
06-01-24,1,2022,CHEVROLET,HALIFAX COUNTY,BOLT
06-01-24,1,2022,TESLA,DIGBY COUNTY,MODEL 3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL Y
06-01-24,1,2022,HYUNDAI,HALIFAX COUNTY,IONIQ 5
06-01-24,1,2022,TESLA,HALIFAX COUNTY,Y
06-01-24,1,2019,CHEVROLET,HALIFAX COUNTY,BOLT
06-01-24,1,2022,FORD,HALIFAX COUNTY,MUSTANG MACHE
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL Y
06-01-24,1,2022,TESLA,HALIFAX COUNTY,3
06-01-24,1,2022,KIA,HALIFAX COUNTY,EV6
06-01-24,1,2022,KIA,CAPE BRETON COUNTY,SORENTO HEV
06-01-24,1,2022,FORD,HALIFAX COUNTY,MACH-E
06-01-24,1,2023,CHEVROLET,HALIFAX COUNTY,BOLT
06-01-24,1,2022,CHEVROLET,HALIFAX COUNTY,BOLT
06-01-24,1,2022,HYUNDAI,COLCHESTER COUNTY,TUCSON
06-01-24,1,2022,FORD,HALIFAX COUNTY,MACH
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2022,TESLA,ANNAPOLIS COUNTY,MODEL 3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2022,CHEVROLET,COLCHESTER COUNTY,BOLT
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2023,VOLVO,LUNENBURG COUNTY,C40
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2022,FORD,HALIFAX COUNTY,MUSTANG MACH-E
06-01-24,1,2023,HYUNDAI,CAPE BRETON COUNTY,KONA EV
06-01-24,1,2023,CHEVROLET,ANNAPOLIS COUNTY,BOLT
06-01-24,1,2019,TESLA,ANNAPOLIS COUNTY,3
06-01-24,1,2015,NISSAN,HALIFAX COUNTY,LEAF
06-01-24,1,2018,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2018,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2017,TOYOTA,HALIFAX COUNTY,7FBJ35
06-01-24,1,2019,NISSAN,HALIFAX COUNTY,LEAF
06-01-24,1,2016,TESLA,HALIFAX COUNTY,MSS
06-01-24,1,2019,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2019,TESLA,HALIFAX COUNTY,3
06-01-24,1,2015,SMART,HANTS COUNTY,FORTWO
06-01-24,1,2019,TESLA,LUNENBURG COUNTY,MODEL 3
06-01-24,1,2020,TESLA,HALIFAX COUNTY,MODEL Y
06-01-24,1,2020,TESLA,HALIFAX COUNTY,MODEL Y
06-01-24,1,2016,TESLA,HALIFAX COUNTY,S
06-01-24,1,2016,NISSAN,HALIFAX COUNTY,LEAF
06-01-24,1,2019,TOYOTA,DIGBY COUNTY,RAV4
06-01-24,1,2020,CHEVROLET,HALIFAX COUNTY,BOLT EV
06-01-24,1,2020,CHEVROLET,HALIFAX COUNTY,BOLT
06-01-24,1,2020,CHEVROLET,INVERNESS COUNTY,BOLT
06-01-24,1,2021,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2021,TESLA,HALIFAX COUNTY,3
06-01-24,1,2021,HYUNDAI,CAPE BRETON COUNTY,KONA EV
06-01-24,1,2021,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2021,HYUNDAI,KINGS COUNTY,KONA
06-01-24,1,2017,CHEVROLET,HALIFAX COUNTY,BOLT EV
06-01-24,1,2022,HYUNDAI,HALIFAX COUNTY,KONA
06-01-24,1,2021,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2019,HYUNDAI,COLCHESTER COUNTY,KONA
06-01-24,1,2020,HARLEY DAVIDSON,HALIFAX COUNTY,ELW
06-01-24,1,2019,CHEVROLET,ANTIGONISH COUNTY,BOLT
06-01-24,1,2022,HYUNDAI,COLCHESTER COUNTY,IONIQ 5
06-01-24,1,2019,TESLA,HALIFAX COUNTY,3
06-01-24,1,2022,TESLA,LUNENBURG COUNTY,MODEL 3
06-01-24,1,2022,HYUNDAI,LUNENBURG COUNTY,KONA EV
06-01-24,1,2022,TESLA,HALIFAX COUNTY,Y
06-01-24,1,2022,HYUNDAI,HALIFAX COUNTY,IONIQ 5
06-01-24,1,2021,HYUNDAI,HALIFAX COUNTY,KONA
06-01-24,1,2022,HYUNDAI,YARMOUTH COUNTY,KONA
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2022,NISSAN,HALIFAX COUNTY,LEAF
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL Y
06-01-24,1,2022,TESLA,GUYSBOROUGH COUNTY,MODEL 3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,Y
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2017,CHEVROLET,ANTIGONISH COUNTY,BOLT
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2016,NISSAN,HALIFAX COUNTY,LEAF
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL Y
06-01-24,1,2022,FORD,HANTS COUNTY,MACH-E
06-01-24,1,2022,MERCEDES BENZ,LUNENBURG COUNTY,EQS 580
06-01-24,1,2022,HYUNDAI,KINGS COUNTY,IONIQ 5
06-01-24,1,2019,NISSAN,HALIFAX COUNTY,LEAF
06-01-24,1,2022,JEEP,COLCHESTER COUNTY,GRAND CHEROKEE
06-01-24,1,2016,NISSAN,HALIFAX COUNTY,LEAF
06-01-24,1,2021,HYUNDAI,LUNENBURG COUNTY,KONA EV
06-01-24,1,2022,BMW,HALIFAX COUNTY,COOPER
06-01-24,1,2016,TESLA,HALIFAX COUNTY,MODEL X
06-01-24,1,2021,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2021,HYUNDAI,KINGS COUNTY,KONA
06-01-24,1,2022,HYUNDAI,HANTS COUNTY,KONA
06-01-24,1,2019,NISSAN,HALIFAX COUNTY,LEAF
06-01-24,1,2021,HYUNDAI,KINGS COUNTY,KONA
06-01-24,1,2021,TESLA,HALIFAX COUNTY,3
06-01-24,1,2021,FORD,LUNENBURG COUNTY,MUSTANG
06-01-24,1,2022,HYUNDAI,COLCHESTER COUNTY,KONA EV
06-01-24,1,2022,VOLVO,LUNENBURG COUNTY,XC40 RECHARGE
06-01-24,1,2022,VOLVO,LUNENBURG COUNTY,XC40 RECHARGE
06-01-24,1,2022,HYUNDAI,YARMOUTH COUNTY,KONA
06-01-24,1,2021,TESLA,HALIFAX COUNTY,S
06-01-24,1,2021,TESLA,HALIFAX COUNTY,3
06-01-24,1,2022,AUDI,HALIFAX COUNTY,Q5E
06-01-24,1,2022,AUDI,HALIFAX COUNTY,R7SE
06-01-24,1,2021,TESLA,HALIFAX COUNTY,Y
06-01-24,1,2021,AUDI,HALIFAX COUNTY,ETRO
06-01-24,1,2022,CHEVROLET,HALIFAX COUNTY,BOLT
06-01-24,1,2022,HYUNDAI,KINGS COUNTY,KONA
06-01-24,1,2021,HYUNDAI,HALIFAX COUNTY,KONA
06-01-24,1,2022,TESLA,HALIFAX COUNTY,3
06-01-24,1,2018,TESLA,VICTORIA COUNTY,3
06-01-24,1,2020,NISSAN,HALIFAX COUNTY,LEAF
06-01-24,1,2022,HYUNDAI,HALIFAX COUNTY,IONIQ 5
06-01-24,1,2018,TESLA,CUMBERLAND COUNTY,3
06-01-24,1,2020,KIA,HALIFAX COUNTY,NIRO
06-01-24,1,2022,HYUNDAI,KINGS COUNTY,SANTA FE
06-01-24,1,2018,TESLA,HALIFAX COUNTY,3
06-01-24,1,2021,TESLA,COLCHESTER COUNTY,Y
06-01-24,1,2021,HYUNDAI,QUEENS COUNTY,KONA
06-01-24,1,2018,NISSAN,HALIFAX COUNTY,LEAF
06-01-24,1,2020,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2019,TESLA,COLCHESTER COUNTY,3
06-01-24,1,2022,MINI,HALIFAX COUNTY,COOPER SE
06-01-24,1,2008,LEXUS,HALIFAX COUNTY,RX
06-01-24,1,2022,FORD,YARMOUTH COUNTY,MACH-E
06-01-24,1,2019,CHEVROLET,VICTORIA COUNTY,BOLT
06-01-24,1,2022,HYUNDAI,KINGS COUNTY,IONIQ 5
06-01-24,1,2014,SMART,COLCHESTER COUNTY,FORTW
06-01-24,1,2022,FORD,COLCHESTER COUNTY,F150
06-01-24,1,2022,HYUNDAI,HALIFAX COUNTY,IONIQ 5
06-01-24,1,2022,MINI,CUMBERLAND COUNTY,COOPER SE
06-01-24,1,2022,HYUNDAI,KINGS COUNTY,KONA
06-01-24,1,2021,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2019,HYUNDAI,HALIFAX COUNTY,KONA
06-01-24,1,2022,FORD,INVERNESS COUNTY,MUSTANG MACH-E
06-01-24,1,2016,NISSAN,HALIFAX COUNTY,LEAF
06-01-24,1,2022,HYUNDAI,HALIFAX COUNTY,IONIQ 5
06-01-24,1,2019,KIA,LUNENBURG COUNTY,NIRO
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL Y
06-01-24,1,2017,CHEVROLET,HALIFAX COUNTY,BOLT
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2021,TESLA,HALIFAX COUNTY,3
06-01-24,1,2020,VOLKSWAGEN,PICTOU COUNTY,E-GOLF
06-01-24,1,2022,HYUNDAI,HALIFAX COUNTY,IONIQ 5
06-01-24,1,2022,HYUNDAI,HALIFAX COUNTY,KONA EV
06-01-24,1,2021,TESLA,HALIFAX COUNTY,MODEL Y
06-01-24,1,2022,HYUNDAI,HALIFAX COUNTY,IONIQ 5
06-01-24,1,2020,TESLA,HALIFAX COUNTY,3
06-01-24,1,2022,HYUNDAI,ANNAPOLIS COUNTY,IONIQ
06-01-24,1,2022,HYUNDAI,HALIFAX COUNTY,IONIQ 5
06-01-24,1,2022,HYUNDAI,CUMBERLAND COUNTY,IONIQ 5
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2021,HYUNDAI,HANTS COUNTY,IONIQ
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL Y
06-01-24,1,2022,FORD,HALIFAX COUNTY,MACH-E
06-01-24,1,2022,TESLA,LUNENBURG COUNTY,3
06-01-24,1,2022,TESLA,HANTS COUNTY,3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,3
06-01-24,1,2022,TESLA,HALIFAX COUNTY,3
06-01-24,1,2022,VOLVO,HALIFAX COUNTY,C40 RECHARGE
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL Y
06-01-24,1,2022,TOYOTA,LUNENBURG COUNTY,PRIUS
06-01-24,1,2021,TESLA,HALIFAX COUNTY,MODEL Y
06-01-24,1,2022,HYUNDAI,HALIFAX COUNTY,KONA EV
06-01-24,1,2022,AUDI,HANTS COUNTY,E-TRON
06-01-24,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
06-01-24,1,2022,HYUNDAI,HALIFAX COUNTY,KONA EV
06-01-24,1,2021,KIA,HALIFAX COUNTY,SOUL EV
06-01-24,1,2022,FORD,PICTOU COUNTY,MUSTANG
06-01-24,1,2022,VOLVO,HALIFAX COUNTY,C40
06-01-24,1,2021,TESLA,HALIFAX COUNTY,YGE
06-01-24,1,2022,CHEVROLET,CAPE BRETON COUNTY,BOLT
06-01-24,1,2022,HYUNDAI,HALIFAX COUNTY,IONIQ 5
06-01-24,1,2022,FORD,LUNENBURG COUNTY,MUSTANG
06-01-24,1,2022,FORD,KINGS COUNTY,MUSTANG
06-01-24,1,2022,AUDI,HALIFAX COUNTY,E-TRON GT
