date,number_of_electric_vehicles,vehicle_model_year,vehicle_make,location,vehicle_model,year,month,vehicle_type,day
2024-01-22,1,2023,Subaru,Halifax County,Solterra,2024,1,,22
2024-01-22,1,2023,Subaru,Colchester County,Solterra,2024,1,,22
2024-01-22,1,2023,Subaru,Kings County,Solterra,2024,1,,22
2024-01-22,1,2023,Subaru,Cumberland County,Solterra,2024,1,,22
2024-01-22,1,2023,Subaru,Pictou County,Solterra,2024,1,,22
2024-01-22,1,2023,Subaru,Lunenburg County,Solterra,2024,1,,22
2024-01-22,1,2024,Jeep,Kings County,Wrangler Unlimited 4xe,2024,1,,22
2024-01-22,1,2023,Jeep,Halifax County,Grand Cherokee,2024,1,,22
2024-01-22,1,2022,Jeep,Hants County,Grand Cherokee,2024,1,,22
2024-01-22,1,2022,Jeep,Kings County,Grand Cherokee,2024,1,,22
2024-01-22,1,2022,Jeep,Halifax County,Grand Cherokee,2024,1,,22
2024-01-22,1,2023,Jeep,Hants County,Wrangler Unlimited 4xe,2024,1,,22
2024-01-22,1,2022,Jeep,Shelburne County,Wrangler Unlimited 4xe,2024,1,,22
2024-01-22,1,2022,Jeep,Colchester County,Grand Cherokee,2024,1,,22
2024-01-22,1,2019,Jeep,Antigonish County,Grand Cherokee,2024,1,,22
2024-01-22,1,2020,Harley Davidson,Pictou County,Elw,2024,1,,22
2024-01-22,1,2012,Kawasaki,Halifax County,Vn900,2024,1,,22
2024-01-22,1,2024,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Colchester County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Cumberland County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Cape Breton County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Colchester County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Lunenburg County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Lunenburg County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Cape Breton County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Kings County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Out Of Province,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Guysborough County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Pictou County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Kings County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Cape Breton County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Lunenburg County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Hants County,Genesis Gv60,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Yarmouth County,Ioniq Ev,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Hants County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Hants County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Antigonish County,Santa Fe,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Annapolis County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Pictou County,Tucson,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Pictou County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Colchester County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Cape Breton County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Kings County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2020,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2020,Hyundai,Cape Breton County,Ioniq Ev,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Hants County,Tucson,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Lunenburg County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Genesis Gv60,2024,1,SUV,22
2024-01-22,1,2022,Hyundai,Halifax County,Ioniq Ev,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Cape Breton County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Lunenburg County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Antigonish County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Lunenburg County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev Ultimate,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Colchester County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Hants County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Colchester County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Kings County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Hants County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Pictou County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Yarmouth County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Victoria County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Annapolis County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Tucson,2024,1,SUV,22
2024-01-22,1,2022,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Sonata,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Hants County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Kings County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2020,Hyundai,Halifax County,Ioniq Ev,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2022,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Genesis Gv70,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2022,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Lunenburg County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Kings County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2022,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2022,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2019,Hyundai,Halifax County,Ioniq Ev,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Cape Breton County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Cape Breton County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2022,Hyundai,Halifax County,Ioniq Ev,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Shelburne County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Cape Breton County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Digby County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2019,Hyundai,Hants County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Cape Breton County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Antigonish County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Inverness County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Cape Breton County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Richmond County,Ioniq Ev,2024,1,Sedan,22
2024-01-22,1,2023,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Kings County,Xc 40 Recharge,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Xc 40 Recharge,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2022,Volvo,Annapolis County,Ex 40,2024,1,SUV,22
2024-01-22,1,2022,Volvo,Halifax County,Xc 40 Recharge,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Xc 40 Recharge Ultimate,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Lunenburg County,Ex 40,2024,1,SUV,22
2024-01-22,1,2022,Volvo,Kings County,Ex 40,2024,1,SUV,22
2024-01-22,1,2022,Volvo,Lunenburg County,Xc 40 Recharge Ultimate,2024,1,SUV,22
2024-01-22,1,2022,Volvo,Lunenburg County,Xc 40 Recharge Ultimate,2024,1,SUV,22
2024-01-22,1,2022,Volvo,Halifax County,Xc 40 Recharge,2024,1,SUV,22
2024-01-22,1,2022,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2022,Volvo,Pictou County,Xc 40 Recharge Ultimate,2024,1,SUV,22
2024-01-22,1,2021,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2022,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2021,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2016,Fiat,Halifax County,500.0E,2024,1,,22
2024-01-22,1,2016,Fiat,Halifax County,500,2024,1,,22
2024-01-22,1,2023,Subaru,Halifax County,Solterra,2024,1,,22
2024-01-22,1,2023,Subaru,Colchester County,Solterra,2024,1,,22
2024-01-22,1,2023,Subaru,Lunenburg County,Solterra,2024,1,,22
2024-01-22,1,2023,Subaru,Halifax County,Solterra,2024,1,,22
2024-01-22,1,2023,Subaru,Annapolis County,Solterra,2024,1,,22
2024-01-22,1,2023,Jeep,Shelburne County,Grand Cherokee,2024,1,,22
2024-01-22,1,2022,Jeep,Shelburne County,Grand Cherokee,2024,1,,22
2024-01-22,1,2023,Jeep,Halifax County,Grand Cherokee,2024,1,,22
2024-01-22,1,2012,Terex,Antigonish County,Jaw Crusher,2024,1,,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Lunenburg County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Kings County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Kings County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Kings County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2021,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Cape Breton County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Yarmouth County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Lunenburg County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Yarmouth County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2019,Hyundai,Colchester County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Cape Breton County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Pictou County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Pictou County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2022,Hyundai,Colchester County,Ioniq Ev,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Pictou County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Yarmouth County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2024,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq Ev,2024,1,Sedan,22
2024-01-22,1,2024,Hyundai,Lunenburg County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Santa Fe,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Kings County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Colchester County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Kings County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Cape Breton County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Cape Breton County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Hants County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Pictou County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Kings County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Hants County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Lunenburg County,Ioniq Ev,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Genesis Gv60,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Cape Breton County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Hants County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Lunenburg County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Shelburne County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Kings County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Kings County,Tucson,2024,1,SUV,22
2024-01-22,1,2022,Hyundai,Lunenburg County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Hants County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Antigonish County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Cape Breton County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Genesis Gv70,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Yarmouth County,Ioniq 5,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Inverness County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Colchester County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Kona Ev,2024,1,SUV,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 6,2024,1,Sedan,22
2024-01-22,1,2023,Hyundai,Halifax County,Ioniq 5,2024,1,SUV,22
